Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Addiction_Level
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1.0,4,Moderate
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3.0,7,High
36,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4.0,8,High
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1.0,5,Moderate
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4.0,9,High
39,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2.0,6,Moderate
40,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3.0,7,High
41,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1.0,4,Moderate
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4.0,8,High
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2.0,5,Moderate
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3.0,7,High
45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4.0,8,High
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1.0,4,Moderate
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3.0,7,High
48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4.0,8,High
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2.0,5,Moderate
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4.0,9,High
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2.0,6,Moderate
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3.0,7,High
53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1.0,4,Moderate
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4.0,8,High
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2.0,5,Moderate
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3.0,7,High
57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4.0,8,High
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8,In Relationship,1.0,4,Moderate
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3.0,7,High
60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4.0,8,High
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1.0,5,Moderate
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3.0,8,High
63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6.0,6,Complicated,3.0,7,High
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4.0,9,High
65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1.0,3,Low
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3.0,7,High
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2.0,6,Moderate
68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4.0,8,High
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1.0,4,Moderate
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3.0,7,High
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4.0,8,High
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2.0,5,Moderate
73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3.0,7,High
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4.0,8,High
75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1.0,4,Moderate
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3.0,7,High
77,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4.0,8,High
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7,In Relationship,2.0,5,Moderate
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3.0,7,High
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4.0,9,High
81,21,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1.0,4,Moderate
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3.0,7,High
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2.0,6,Moderate
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1.0,4,Moderate
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4.0,8,High
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3.0,7,High
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4.0,8,High
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1.0,4,Moderate
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3.0,7,High
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4.0,9,High
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2.0,5,Moderate
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3.0,7,High
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2.0,6,Moderate
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4.0,8,High
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1.0,4,Moderate
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3.0,7,High
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4.0,8,High
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1.0,4,Moderate
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3.0,7,High
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4.0,8,High
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4.0,9,High
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1.0,4,Moderate
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3.0,7,High
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4.0,8,High
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2.0,5,Moderate
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3.0,7,High
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2.0,6,Moderate
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4.0,8,High
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1.0,4,Moderate
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3.0,7,High
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4.0,8,High
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3.0,7,High
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2.0,5,Moderate
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4.0,8,High
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3.0,7,High
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2.0,5,Moderate
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4.0,8,High
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3.0,7,High
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2.0,5,Moderate
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4.0,8,High
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3.0,7,High
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2.0,5,Moderate
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4.0,8,High
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3.0,7,High
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2.0,5,Moderate
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4.0,8,High
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3.0,7,High
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2.0,5,Moderate
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4.0,8,High
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3.0,7,High
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2.0,5,Moderate
132,20,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4.0,8,High
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3.0,7,High
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2.0,5,Moderate
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4.0,8,High
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3.0,7,High
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2.0,5,Moderate
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4.0,8,High
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3.0,7,High
140,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2.0,5,Moderate
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4.0,8,High
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3.0,7,High
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2.0,5,Moderate
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4.0,8,High
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3.0,7,High
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2.0,5,Moderate
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4.0,8,High
148,20,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3.0,7,High
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2.0,5,Moderate
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4.0,8,High
151,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3.0,7,High
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2.0,5,Moderate
153,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4.0,8,High
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3.0,7,High
155,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2.0,5,Moderate
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4.0,8,High
157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3.0,7,High
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2.0,5,Moderate
159,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Single,4.0,8,High
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3.0,7,High
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3.0,7,High
162,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2.0,6,Moderate
163,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Single,4.0,8,High
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3.0,7,High
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7,Single,2.0,5,Moderate
166,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6.0,6,In Relationship,4.0,8,High
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3.0,7,High
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2.0,6,Moderate
169,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Single,4.0,8,High
170,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3.0,7,High
171,20,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7,Single,2.0,5,Moderate
172,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4.0,8,High
173,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3.0,7,High
174,21,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2.0,6,Moderate
175,20,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6,Single,4.0,8,High
176,22,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3.0,7,High
177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2.0,5,Moderate
178,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4.0,8,High
179,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3.0,7,High
180,22,Male,Graduate,India,5.0,Facebook,No,7.6,7,In Relationship,2.0,6,Moderate
181,19,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,Single,4.0,8,High
182,21,Male,Graduate,Pakistan,4.4,Instagram,Yes,6.9,5,In Relationship,3.0,7,High
183,20,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,Single,2.0,5,Moderate
184,22,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6,In Relationship,4.0,8,High
185,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5,Single,3.0,7,High
186,21,Male,Graduate,India,4.9,Facebook,No,7.8,7,In Relationship,2.0,6,Moderate
187,20,Female,Undergraduate,Nepal,5.9,TikTok,Yes,5.2,6,Single,4.0,8,High
188,22,Male,Graduate,Pakistan,4.3,Instagram,Yes,7.1,5,In Relationship,3.0,7,High
189,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2.0,5,Moderate
190,21,Male,Graduate,Maldives,5.0,TikTok,Yes,5.1,6,In Relationship,4.0,8,High
191,20,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,Single,3.0,7,High
192,22,Male,Graduate,India,4.8,Facebook,No,8.0,7,In Relationship,2.0,6,Moderate
193,19,Female,Undergraduate,Nepal,6.0,TikTok,Yes,5.0,6,Single,4.0,8,High
194,21,Male,Graduate,Pakistan,4.2,Instagram,Yes,7.3,5,In Relationship,3.0,7,High
195,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2.0,5,Moderate
196,22,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4.0,8,High
197,19,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5,Single,3.0,7,High
198,21,Male,Graduate,India,4.7,Facebook,No,8.2,7,In Relationship,2.0,6,Moderate
199,20,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6,Single,4.0,8,High
200,22,Male,Graduate,Pakistan,4.1,Instagram,Yes,7.5,5,In Relationship,3.0,7,High
201,19,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7,Single,2.0,5,Moderate
202,21,Male,Graduate,Maldives,4.8,TikTok,Yes,4.7,6,In Relationship,4.0,8,High
203,20,Female,Undergraduate,Bangladesh,4.3,Instagram,Yes,7.6,5,Single,3.0,7,High
204,22,Male,Graduate,India,4.6,Facebook,No,8.4,7,In Relationship,2.0,6,Moderate
205,19,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,Single,4.0,8,High
206,21,Male,Graduate,Pakistan,4.0,Instagram,Yes,7.7,5,In Relationship,3.0,7,High
207,20,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7,Single,2.0,5,Moderate
208,22,Male,Graduate,Maldives,4.7,TikTok,Yes,4.5,6,In Relationship,4.0,8,High
209,19,Female,Undergraduate,Bangladesh,4.2,Instagram,Yes,7.8,5,Single,3.0,7,High
210,21,Male,Graduate,India,4.5,Facebook,No,8.6,7,In Relationship,2.0,6,Moderate
211,20,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6,Single,4.0,8,High
212,22,Male,Graduate,Pakistan,3.9,Instagram,Yes,7.9,5,In Relationship,3.0,7,High
213,19,Female,Undergraduate,Sri Lanka,4.3,Facebook,No,8.7,7,Single,2.0,5,Moderate
214,21,Male,Graduate,Maldives,4.6,TikTok,Yes,4.3,6,In Relationship,4.0,8,High
215,20,Female,Undergraduate,Bangladesh,4.1,Instagram,Yes,8.0,5,Single,3.0,7,High
216,22,Male,Graduate,India,4.4,Facebook,No,8.8,7,In Relationship,2.0,6,Moderate
217,19,Female,Undergraduate,Nepal,6.4,TikTok,Yes,4.2,6,Single,4.0,8,High
218,21,Male,Graduate,Pakistan,3.8,Instagram,Yes,8.1,5,In Relationship,3.0,7,High
219,20,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,Single,2.0,5,Moderate
220,22,Male,Graduate,Maldives,4.5,TikTok,Yes,4.1,6,In Relationship,4.0,8,High
221,19,Female,Undergraduate,USA,6.5,Instagram,Yes,6.0,5,Single,4.0,9,High
222,21,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6,In Relationship,3.0,7,High
223,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8,Single,2.0,5,Moderate
224,22,Male,Graduate,Germany,4.2,Facebook,No,7.8,7,In Relationship,2.0,4,Moderate
225,19,Female,Undergraduate,Japan,3.8,LINE,No,7.9,8,Single,1.0,3,Low
226,21,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6,Single,3.0,7,High
227,20,Female,Undergraduate,South Korea,5.2,KakaoTalk,Yes,6.5,6,In Relationship,3.0,6,Moderate
228,22,Male,Graduate,Russia,4.8,VKontakte,No,7.2,7,Single,2.0,5,Moderate
229,19,Female,Undergraduate,USA,7.0,TikTok,Yes,5.8,4,In Relationship,4.0,9,High
230,21,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3.0,7,High
231,20,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7,In Relationship,2.0,5,Moderate
232,22,Male,Graduate,Germany,4.0,Instagram,No,7.9,8,Single,1.0,4,Moderate
233,19,Female,Undergraduate,Japan,3.5,LINE,No,8.0,8,Single,1.0,3,Low
234,21,Male,Graduate,Italy,5.7,TikTok,Yes,6.5,5,In Relationship,3.0,8,High
235,20,Female,Undergraduate,South Korea,5.0,KakaoTalk,Yes,6.8,6,Single,3.0,6,Moderate
236,22,Male,Graduate,Russia,4.5,VKontakte,No,7.4,7,In Relationship,2.0,5,Moderate
237,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,Single,4.0,9,High
238,21,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6,In Relationship,3.0,7,High
239,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,Single,2.0,5,Moderate
240,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2.0,4,Moderate
241,19,Female,Undergraduate,Japan,3.7,LINE,No,7.8,8,Single,1.0,3,Low
242,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3.0,7,High
243,20,Female,Undergraduate,South Korea,5.1,KakaoTalk,Yes,6.6,6,In Relationship,3.0,6,Moderate
244,22,Male,Graduate,Russia,4.7,VKontakte,No,7.3,7,Single,2.0,5,Moderate
245,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,In Relationship,4.0,9,High
246,21,Male,Graduate,UK,5.7,Instagram,Yes,6.4,6,Single,3.0,7,High
247,20,Female,Undergraduate,Australia,4.8,Facebook,No,7.2,7,In Relationship,2.0,5,Moderate
248,22,Male,Graduate,Germany,3.9,Instagram,No,7.8,8,Single,1.0,4,Moderate
249,19,Female,Undergraduate,Japan,3.6,LINE,No,8.1,8,Single,1.0,3,Low
250,21,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5,In Relationship,3.0,8,High
251,20,Female,Undergraduate,South Korea,4.9,KakaoTalk,Yes,6.9,6,Single,3.0,6,Moderate
252,22,Male,Graduate,Russia,4.6,VKontakte,No,7.5,7,In Relationship,2.0,5,Moderate
253,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.8,4,Single,4.0,9,High
254,21,Male,Graduate,UK,5.4,Facebook,Yes,6.5,6,In Relationship,3.0,7,High
255,20,Female,Undergraduate,Australia,4.4,Instagram,No,7.4,7,Single,2.0,5,Moderate
256,22,Male,Graduate,Germany,4.0,Facebook,No,7.6,8,In Relationship,2.0,4,Moderate
257,19,Female,Undergraduate,Japan,3.4,LINE,No,8.2,8,Single,1.0,3,Low
258,21,Male,Graduate,Italy,5.3,Instagram,Yes,6.8,5,Single,3.0,7,High
259,20,Female,Undergraduate,South Korea,5.0,KakaoTalk,Yes,6.7,6,In Relationship,3.0,6,Moderate
260,22,Male,Graduate,Russia,4.4,VKontakte,No,7.6,7,Single,2.0,5,Moderate
261,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.6,4,In Relationship,4.0,9,High
262,21,Male,Graduate,UK,5.3,Instagram,Yes,6.3,6,Single,3.0,7,High
263,20,Female,Undergraduate,Australia,4.3,Facebook,No,7.5,7,In Relationship,2.0,5,Moderate
264,22,Male,Graduate,Germany,3.8,Instagram,No,7.7,8,Single,1.0,4,Moderate
265,19,Female,Undergraduate,Japan,3.3,LINE,No,8.3,8,Single,1.0,3,Low
266,21,Male,Graduate,Italy,5.2,TikTok,Yes,6.9,5,In Relationship,3.0,8,High
267,20,Female,Undergraduate,South Korea,4.8,KakaoTalk,Yes,7.0,6,Single,3.0,6,Moderate
268,22,Male,Graduate,Russia,4.3,VKontakte,No,7.7,7,In Relationship,2.0,5,Moderate
269,19,Female,Undergraduate,USA,6.4,Instagram,Yes,5.7,4,Single,4.0,9,High
270,21,Male,Graduate,UK,5.2,Facebook,Yes,6.4,6,In Relationship,3.0,7,High
271,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.3,7,Single,2.0,5,Moderate
272,22,Male,Graduate,Germany,3.7,Facebook,No,7.8,8,In Relationship,1.0,4,Moderate
273,19,Female,Undergraduate,Japan,3.2,LINE,No,8.4,8,Single,1.0,3,Low
274,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3.0,7,High
275,20,Female,Undergraduate,South Korea,4.7,KakaoTalk,Yes,7.1,6,In Relationship,3.0,6,Moderate
276,22,Male,Graduate,Russia,4.2,VKontakte,No,7.8,7,Single,2.0,5,Moderate
277,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.5,4,In Relationship,4.0,9,High
278,21,Male,Graduate,UK,5.1,Instagram,Yes,6.5,6,Single,3.0,7,High
